,frame,pos_x,pos_y,size,id
0,1.0,593.756052141527,77.89944134078212,179.0,A
1,1.0,197.4951590594744,402.8575380359612,120.5,B
2,1.0,308.6636363636364,353.4222222222222,165.0,C
3,1.0,476.45138888888886,252.24305555555554,192.0,D
4,1.0,662.0863849765258,319.2488262910798,177.5,E
5,1.0,814.281990521327,344.3467614533965,211.0,F
6,1.0,957.1546052631579,388.656798245614,152.0,G
7,2.0,591.3398184176393,79.54993514915694,128.5,A
8,2.0,197.01775956284152,402.8060109289617,122.0,B
9,2.0,308.85185185185185,353.46546546546546,166.5,C
10,2.0,476.42705570291776,252.1865605658709,188.5,D
11,2.0,662.0254957507082,318.438149197356,176.5,E
12,2.0,812.7115384615385,343.88782051282044,208.0,F
13,2.0,957.1866666666666,388.46888888888884,150.0,G
14,3.0,590.3627450980391,74.42857142857143,119.0,A
15,3.0,197.14769647696474,402.8224932249322,123.0,B
16,3.0,309.0352467270896,352.92346424974824,165.5,C
17,3.0,476.491134751773,251.82624113475174,188.0,D
18,3.0,662.1474358974359,317.21886446886447,182.0,E
19,3.0,801.9034334763949,335.77324749642344,233.0,F
20,3.0,957.1627647714603,388.18060200668896,149.5,G
21,3.0,56.10491367861885,324.8053120849933,627.5,H
22,4.0,589.3413516609393,70.32073310423826,145.5,A
23,4.0,196.59043927648577,402.7751937984496,129.0,B
24,4.0,309.1517857142857,352.27777777777777,168.0,C
25,4.0,476.5087719298245,251.7859649122807,190.0,D
26,4.0,662.0653218059558,317.87512007684916,173.5,E
27,4.0,793.8511722731905,330.38430173292556,163.5,F
28,4.0,957.1122334455667,388.1683501683502,148.5,G
29,4.0,55.92376317923763,325.42795350094616,616.5,H
30,5.0,589.1661016949153,69.11864406779661,147.5,A
31,5.0,196.33716475095787,402.72541507024266,130.5,B
32,5.0,309.21539961013644,351.8099415204678,171.0,C
33,5.0,476.54320987654313,251.710758377425,189.0,D
34,5.0,662.0258541089565,316.56325023084025,180.5,E
35,5.0,794.2324840764331,328.71868365180467,157.0,F
36,5.0,957.1916099773242,388.4024943310657,147.0,G
37,5.0,56.40634159339195,325.2414068745004,625.5,H
38,6.0,588.8952380952381,67.3026455026455,157.5,A
39,6.0,196.33716475095787,402.72541507024266,130.5,B
40,6.0,309.37609329446065,351.6958211856171,171.5,C
41,6.0,476.5961199294532,251.77160493827157,189.0,D
42,6.0,662.0388888888889,316.59907407407405,180.0,E
43,6.0,793.2613843351547,307.1621129326047,183.0,F
44,6.0,957.1615120274914,388.5189003436426,145.5,G
45,6.0,56.13266998341625,326.30652294085127,603.0,H
46,7.0,589.8972677595629,66.80109289617486,152.5,A
47,7.0,196.51808785529715,402.70801033591727,129.0,B
48,7.0,309.5168195718654,351.6269113149847,163.5,C
49,7.0,476.532981530343,251.74142480211083,189.5,D
50,7.0,661.8754480286738,316.1666666666667,186.0,E
51,7.0,793.365231259968,301.5677830940989,209.0,F
52,7.0,957.1782407407406,388.5497685185185,144.0,G
53,7.0,56.08298869589192,326.36779707747445,604.5,H
54,8.0,596.6848072562358,53.32426303854875,147.0,A
55,8.0,196.29898218829516,402.7442748091603,131.0,B
56,8.0,309.5672514619883,350.68226120857696,171.0,C
57,8.0,476.40318302387266,251.91246684350133,188.5,D
58,8.0,661.4704813805631,315.0454132606721,183.5,E
59,8.0,792.5012406947891,296.75020678246483,201.5,F
60,8.0,957.0594405594405,387.7319347319347,143.0,G
61,8.0,55.924033522573666,326.73344147066774,616.5,H
62,9.0,598.6170212765958,47.72644376899696,164.5,A
63,9.0,195.98717948717947,402.73717948717945,130.0,B
64,9.0,309.7723342939481,350.6647454370797,173.5,C
65,9.0,476.41644562334216,251.71883289124668,188.5,D
66,9.0,661.1758241758242,315.5412087912088,182.0,E
