,frame,pos_x,pos_y,size,id
0,1.0,792.2018678160919,277.8125,232.0,A
1,1.0,280.7390476190476,227.72952380952378,87.5,B
2,1.0,1046.3364681295716,341.85370950888193,159.5,C
3,1.0,607.2060367454068,403.8582677165354,127.0,D
4,1.0,418.90671217292373,223.32992036405005,146.5,E
5,1.0,924.00108577633,3.789359391965255,153.5,F
6,1.0,186.4744661095636,147.16805942432683,179.5,G
7,1.0,97.75603864734299,3.1690821256038646,69.0,H
8,1.0,669.347311827957,4.3892473118279565,155.0,I
9,1.0,1217.5553385416665,371.9016927083333,256.0,J
10,3.0,797.7813333333332,334.674,250.0,A
11,3.0,281.00399201596804,230.98602794411175,83.5,B
12,3.0,1046.739487179487,345.5128205128205,162.5,C
13,3.0,607.2127371273712,405.0162601626016,123.0,D
14,3.0,419.0433789954338,226.8607305936073,146.0,E
15,3.0,923.6236559139784,4.043010752688172,170.5,F
16,3.0,186.2797783933518,148.69713758079408,180.5,G
17,3.0,97.41362530413625,3.1605839416058394,68.5,H
18,3.0,669.330076004343,4.4267100977198695,153.5,I
19,3.0,1216.5717131474103,374.5597609561753,251.0,J
20,4.0,1216.3042904290428,375.5141914191419,252.5,A
21,4.0,280.96559139784944,231.7010752688172,77.5,B
22,4.0,1046.392156862745,346.55417956656345,161.5,C
23,4.0,607.2696476964769,405.1273712737127,123.0,D
24,4.0,419.0776255707762,228.4931506849315,146.0,E
25,4.0,923.6089743589744,3.78525641025641,156.0,F
26,4.0,186.45561594202897,149.2835144927536,184.0,G
27,4.0,97.74358974358974,3.0885780885780885,71.5,H
28,4.0,669.3681917211329,4.391067538126361,153.0,I
29,5.0,1215.711432506887,376.5399449035812,242.0,A
30,5.0,281.3243243243243,234.3310810810811,74.0,B
31,5.0,1046.7950248756217,348.9283582089552,167.5,C
32,5.0,607.2188405797101,405.8101449275362,115.0,D
33,5.0,827.8679611650485,392.6200647249191,257.5,E
34,5.0,923.1489151873767,4.1439842209072975,169.0,F
35,5.0,186.51831501831498,150.31410256410254,182.0,G
